Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Cops and Robbers,492402,tt4717208,2017-12-12,A strung out hostage negotiator plays a dangerous game of cat and mouse with a cornered bank robber who is hell bent on getting out of the bank and humiliating the negotiator in the process.,"A police hostage negotiator plays a dangerous game of cat and mouse with a cornered bank robber who is hell bent on getting out of the bank and humiliating his brother, the police hostage negotiator, in the process.",en,Released,5500000,,N/A,3.9,238,N/A,N/A,[28]
Khali the Killer,483205,tt4498760,2017-11-02,"After deciding to retire, an East L.A. hit man decides to take one last job to help support his ailing grandmother's end of life care. But everything falls apart, when he develops empathy ...",Khali (Richard Cabral) is a murderer and commits his murders in East L.A. His last job is the first time that his actions make him think about what he does for living.,en,Released,0,,N/A,4.2,101,N/A,N/A,"[80, 18]"
On Wings of Eagles,346684,tt4714896,2017-11-03,Eric Liddell - China's first gold medalist and one of Scotland's greatest athletes - returns to war-torn China.,Eric Liddell - China's first gold medalist and one of Scotland's greatest athletes - returns to war-torn China.,en,Released,0,,N/A,5.8,344,05 Dec 2017,N/A,"[18, 36, 10752]"
Escape from Mr. Lemoncello's Library,476549,tt5878476,2017-12-26,Can twelve 12-year-olds escape from the most ridiculously brilliant library ever created? Escape from Mr. Lemoncello's Library plunks a dozen sixth-graders into the middle of a futuristic ...,Can twelve 12-year-olds escape from the most ridiculously brilliant library ever created? Escape from Mr. Lemoncello's Library plunks a dozen sixth-graders into the middle of a futuristic library for a night of nonstop fun and adventure.,en,Released,0,,N/A,5.1,138,N/A,N/A,"[10751, 14]"
Snowmance,487045,tt7657428,2017-11-26,"Each year Sarah builds her ""Snow Beau"" snowman with her best friend Nick. After another breakup, she begins to wonder if she'll ever find true love of her own. A little Christmas magic brings her Snow Beau to life.","No man is perfect enough for Sarah Groves, except perhaps the impressive snowmen she sculpts annually with her childhood pal, Nick. In mid-December, her snowman disappears, and in his place, materializes Cole, who seems too perfect for Sarah to be true.",en,Released,0,,N/A,5.4,251,N/A,N/A,"[10749, 18]"
Game of Thrones: Conquest & Rebellion,492606,tt7937220,2017-12-12,Aegon of House Targaryen sets out on his brave and bloody conquest to defeat the seven reigning families of Westeros. An impossible feat were it not for Aegon's possession of feared and ferocious dragons.,HBO's animated history of Westeros brings to life all the events that shaped the Seven Kingdoms in the thousands of years before Game of Thrones' story begins.,en,Released,0,,N/A,7.6,142,N/A,N/A,"[16, 14]"
LEGO Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat,509080,tt7387224,2017-12-09,N/A,Lego Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat is a computer-animated Lego film based on Marvel Comics and starring the Guardians of the Galaxy.,en,Released,0,,N/A,7.7,13,N/A,N/A,"[16, 10751, 878]"
Deep,430474,tt4105584,2017-11-01,"In 2100, when humanity has abandoned the earth, a colony of extravagant creatures still thrives in the deepest abyss of the ocean. Deep, an adventurous ""dumbo"" octopus and the last one of ...","In 2100, when humanity has abandoned the earth, a colony of extravagant creatures still thrives in the deepest abyss of the ocean.",en,Released,0,,N/A,4.0,790,N/A,N/A,"[16, 10751]"
Forget About Nick,479834,tt5373854,2017-12-07,N/A,"A German woman in New York is busy redesigning her life from model to designer, but is forced to live with her husband’s ex-wife when he disappears.",en,Released,0,,N/A,5.4,38,N/A,N/A,[35]
The Elf,485906,tt7136736,2017-11-07,"Nick is haunted by night terrors stemming from a tragic murder he saw when he was young. After inheriting an old toy shop, he discovers a cursed elf doll sealed inside an ancient chest with...","Nick is haunted by night terrors stemming from a tragic murder he saw when he was young. After inheriting an old toy shop, he discovers a cursed elf doll sealed inside an ancient chest with a naughty list of his family's names written on it. He soon discovers that the elf was an evil conduit meant to unleash a supernatural killing spree during the Christmas Holidays by whomever set it free.",en,Released,0,,N/A,2.9,445,N/A,N/A,[27]
The Secret Life of Kyle,484809,tt7411374,2017-11-09,"After the events of Despicable Me 3, we follow Kyle and his secret life when Gru and his family are gone.","After the events of Despicable Me 3, we follow Kyle and his secret life when Gru and his family are gone.",en,Released,0,,N/A,6.1,92,N/A,N/A,"[16, 35, 10751]"
Doctor Who: Shada,491940,tt7689226,2017-11-24,"The story revolves around the planet Shada, on which the Time Lords have constructed a high security prison for some of the Universe's most dangerous criminals. Skagra, a flawed genius from...","The story revolves around the lost planet Shada, on which the Time Lords built a prison for defeated would-be conquerors of the universe. Skagra, one such inmate, needs the help of one of the prison's inmates. He finds nobody knows where Shada is anymore except one aged Time Lord who has retired to Earth, where he is a professor at St. Cedd's College, Cambridge. Luckily for the universe, Skagra's attempt to force the information out of Professor Chronotis coincides with a visit by the professor's old friend, the Fourth Doctor.",en,Released,0,,N/A,6.1,208,N/A,N/A,[878]
Middleground,462077,tt2306441,2017-11-02,"She's always sitting there with her husband. He's always getting up to take a meeting. The other man always comes and sits, the stranger, who always insists on his account of their past affair, and every time he does, it's more convincing.","Him and her. A husband and a wife staying in a cozy hotel where you can come for just a couple of days with a risk to get stuck forever. It is so easy to get trapped in the daily routine. Indeed, nothing is more permanent than the temporary. Their time is like a flat circle. He has his phone calls and business meetings. She is wrapped in her dreams and doubts. All reactions are predictable, all conversations are learnt by heart. An endless LP record of life keeps playing again and again repeating itself. But a few things can break this tune, like a scratch on the record, a crack on a wine glass, a sudden glance or a meeting with a stranger. And then you know: tomorrow will come soon. Any moment something can go wrong, throw you off course, and force you to make a choice.",en,Released,0,,N/A,4.8,71,N/A,N/A,"[10749, 18]"
Desolation,424284,tt5047400,2017-12-15,,A mother takes her son on a trip into remote wilderness to scatter his father's ashes; they must confront their worst fears when a lone hiker begins following them.,en,Released,0,,,,,,,"[27, 18, 53]"
Dave Chappelle: The Bird Revelation,494368,tt7808620,2017-12-31,Dave jokes about the sexual assaults dominating the 2017 entertainment news and how and why people allow themselves to be abused.,"Comedy juggernaut Dave Chappelle's fourth Netflix Special, taped on November 20th, 2017 at Los Angeles' Comedy Store.",en,Released,0,,N/A,7.7,"2,923",N/A,N/A,[35]
Segfault,463594,tt6966044,2018-01-01,A woman becomes increasingly aware of her fractured past as a corrupt organization closes in.,A woman becomes increasingly aware of her fractured past as a corrupt organization closes in.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[53, 28]"
The Boy with the Topknot,485925,tt5757738,2017-11-13,"One-off drama based on the critically acclaimed memoirs of British journalist Sathnam Sanghera. A touching, humorous and emotional rites-of-passage story.","Born to traditional Punjabi parents and growing up in Wolverhampton, Sathnam Sanghera moves to London after graduating from Cambridge University. Now in his late 20s he is planning to reveal to his family that he will defy expectations of an arranged marriage - but instead learns a painful family secret.",en,Released,0,,N/A,6.6,336,N/A,N/A,"[35, 18]"
Binge,530412,tt8415878,2018-01-01,,"Identical twin sisters, Ani and Ale, are addicted to teen-soap, 'Runyon'. Although they are drifting apart, the sisters share a love for Johnny, the James Dean-esque main character of the show. As they binge-watch 'Runyon', one twin tries to navigate her first relationship while the other manifests her ultimate fantasy.",en,Released,0,,,,,,,[35]
Lost Gully Road,486949,tt6371924,2017-11-25,Lucy travels to an isolated house in the forest to wait for her sister. They have worked out a risky scheme for their future and all she needs to do is sit it out. However a sinister presence may have something different in mind.,Lucy travels to an isolated house in the forest to wait for her sister. They have worked out a risky scheme for their future and all she needs to do is sit it out. However a sinister presence may have something different in mind.,en,Released,0,,N/A,7.8,5,N/A,N/A,"[53, 27]"
Four Christmases and a Wedding,489204,tt7642558,2017-12-02,"""When event planner Chloe (Kebbel) is hired to plan the local Christmas Festival, she is beyond thrilled to embrace the challenge. Professionally, everything is going great, but much to the...","When event planner Chloe is hired to plan the local Christmas Festival, she is beyond thrilled to embrace the challenge. Professionally, everything is going great, but much to the dismay of her mother, Chloe confesses she has given up on ever finding Mr. Right. That all changes the night of the opening of the festival when she meets Evan. The two begin a whirlwind romance, but as Christmas Day nears, Chloe learns that Evan is being transferred overseas for work. What follows is three more Christmases where Chloe and Evan cross paths at the annual festival, but each year something - or someone - stands in the way of true love. Will a touch of Santa's magic on their fourth Christmas Eve finally bring them together?",en,Released,0,,N/A,6.0,307,N/A,N/A,[]
Dave Chappelle: Equanimity,488223,tt7807952,2017-12-30,"Dave talks about not actually growing up in the projects, the hate he received from the transgender community, and from fake news.","Comedy legend Dave Chappelle returns to his roots with an all-new stand-up special filmed at the Warner Theatre in Washington, D.C.",en,Released,0,,N/A,8.1,"3,432",N/A,N/A,[35]
